자치구,교육지원청,학교급,학교명,학교_주소,위도,경도,대표_전화번호,홈페이지_URL,학교_학생수,학교_교원1인당학생수,교육복지우선지원여부_UI,위클래스_있음,전문상담교사_수,보건교사_수,진로상담실_있음,방과후교과프로그램수,방과후특기적성프로그램수
은평구,서부교육지원청,고등학교,동명생활경영고등학교,서울특별시 은평구 통일로 793(대조동),37.6144187859471,126.92282044301,02  -383 -2628,http://dmgcab.sen.hs.kr/,218,6.2,해당,있음,0,1,있음,2.0,7.0
금천구,남부교육지원청,고등학교,서울매그넷고등학교,서울특별시 금천구 탑골로10길 45(시흥동. 서울매그넷고등학교),37.4519206711218,126.915824008297,070 -7703-8058,https://seoulmagnet.sen.hs.kr,357,6.9,미해당,있음,0,1,있음,11.0,1.0
강서구,강서양천교육지원청,고등학교,화곡보건경영고등학교,서울특별시 강서구 강서로45길 70(내발산동),37.5484125649861,126.832679697779,070 -8644-6505,http://www.hwagok-gii.hs.kr,195,5.6,해당,없음,0,1,있음,5.0,1.0
동대문구,동부교육지원청,중학교,전일중학교,서울특별시 동대문구 사가정로13길 67. 전일중학교 (전농동),37.5825001768201,127.058379516351,02  -2245-2745,http://jeonil.sen.ms.kr,351,10.6,해당,있음,1,1,있음,0.0,0.0
동대문구,동부교육지원청,중학교,대광중학교,서울특별시 동대문구 안암로 6(신설동) 대광중학교,37.5779549391135,127.025328234604,02  -940 -2251,http://dgm.sen.ms.kr,359,12.8,해당,있음,0,1,있음,2.0,0.0
은평구,서부교육지원청,중학교,덕산중학교,서울특별시 은평구 가좌로 400(신사동),37.6022573973254,126.904677132229,02  -3146-7200,https://duksan.sen.ms.kr,348,10.5,해당,있음,2,1,있음,1.0,4.0
마포구,서부교육지원청,중학교,신수중학교,서울특별시 마포구 신수로 49. 신수중학교 (신수동),37.5459230000416,126.934131984442,02  -717 -6004,http://sinsu.sen.ms.kr,473,10.8,해당,있음,1,2,있음,0.0,4.0
서대문구,서부교육지원청,중학교,가재울중학교,서울특별시 서대문구 수색로 100-75(북가좌동. 가재울중학교),37.5750983516219,126.909974232219,02  -726 -1700,http://gajaeul.sen.ms.kr,660,11.8,해당,있음,1,1,있음,0.0,4.0
마포구,서부교육지원청,중학교,경성중학교,서울특별시 마포구 성미산로 111. 경성중학교 (연남동),37.563510635781,126.919166278819,02  -3140-1245,http://www.gyeongseong.sen.ms.kr,313,9.2,해당,있음,0,1,있음,8.0,8.0
은평구,서부교육지원청,중학교,대성중학교,서울특별시 은평구 갈현로29길 51-24. 대성중학교 (갈현동),37.6222715955953,126.911258320824,02  -6252-1100,https://dsms.sen.ms.kr,371,9.5,해당,있음,0,1,있음,1.0,4.0
서대문구,서부교육지원청,중학교,한성중학교,서울특별시 서대문구 북아현로1길 24(북아현동.한성중학교),37.559096439531,126.954456481223,02  -365 -4942,http://hanseong.sen.ms.kr,237,7.9,해당,있음,0,1,있음,0.0,4.0
마포구,서부교육지원청,중학교,홍익대학교사범대학부속여자중학교,서울특별시 마포구 성미산로 51. 홍익대학교사범대학부속여자중학교 (성산동),37.559665162458,126.912928685692,02  -331 -7314,http://www.hongikg.ms.kr,312,9.8,해당,있음,2,1,있음,7.0,2.0
금천구,남부교육지원청,중학교,난곡중학교,서울특별시 금천구 문성로 67(독산동),37.4780455835119,126.910791624653,02  -2283-5204,http://nangok.sen.ms.kr,228,8.1,해당,있음,2,1,있음,0.0,2.0
영등포구,남부교육지원청,중학교,문래중학교,서울특별시 영등포구 선유서로13길 6(문래동6가.문래중학교),37.520362407627,126.884670886121,02  -6712-0707,http://mullae.sen.ms.kr,622,13.5,해당,있음,0,1,있음,16.0,10.0
구로구,남부교육지원청,중학교,영서중학교,서울특별시 구로구 도림로20길 35(구로동),37.4897523897016,126.89491012521,02  -856 -9567,http://yeongseo.sen.ms.kr,531,12.1,해당,있음,0,1,있음,3.0,6.0
구로구,남부교육지원청,중학교,천왕중학교,서울특별시 구로구 천왕로 63(천왕동. 천왕중학교),37.4826544228754,126.837333603453,02  -2618-2833,http://cheonwang.sen.ms.kr,824,12.9,해당,있음,0,1,있음,2.0,3.0
금천구,남부교육지원청,중학교,문일중학교,서울특별시 금천구 시흥대로47길 45. 문일중학교 (시흥동),37.4489152569278,126.898720653088,02  -891 -6669,http://www.moonil.ms.kr,359,10.9,해당,있음,1,1,있음,1.0,5.0
금천구,남부교육지원청,중학교,국립전통예술중학교,서울특별시 금천구 시흥대로38길 62(시흥동),37.4463710473917,126.906462134788,02  -6488-3654,http://kugak-am.sen.ms.kr,211,7.5,미해당,있음,1,1,있음,1.0,4.0
노원구,북부교육지원청,중학교,상경중학교,서울특별시 노원구 동일로227길 61(상계동. 상경중학교),37.6671487661533,127.053705308096,02  -939 -3951,https://sanggyung.sen.ms.kr/,494,12.4,해당,있음,0,1,있음,0.0,2.0
도봉구,북부교육지원청,중학교,효문중학교,서울특별시 도봉구 우이천로 432(쌍문동. 효문중 고등학교),37.6526987118348,127.0184004627,02  -999 -1785,http://hyomun.sen.ms.kr,286,9.5,해당,있음,2,2,있음,1.0,4.0
용산구,중부교육지원청,중학교,용산중학교,서울특별시 용산구 두텁바위로 74(용산동2가),37.5460125390171,126.9809128899,070 -400 -0380,http://ys.sen.ms.kr,281,10.4,해당,있음,0,1,있음,3.0,3.0
용산구,중부교육지원청,중학교,한강중학교,서울특별시 용산구 녹사평대로 73(서빙고동),37.5236119183008,126.992790867047,02  -794 -1791,http://hangang.sen.ms.kr,302,8.4,해당,있음,1,1,있음,1.0,0.0
종로구,중부교육지원청,중학교,동성중학교,서울특별시 종로구 대학로 156동성중학교 (혜화동 90-7),37.5849699592551,127.003097645534,02  -3671-9197,http://sds.sen.ms.kr,227,8.4,해당,있음,1,1,있음,1.0,4.0
용산구,중부교육지원청,중학교,보성여자중학교,서울특별시 용산구 신흥로3가길 66(용산동2가),37.5430815444968,126.984284175086,02  -6328-9464,http://bosung-g.sen.ms.kr,219,9.1,해당,있음,1,1,있음,0.0,2.0
용산구,중부교육지원청,중학교,성심여자중학교,서울특별시 용산구 원효로19길 49. 성심여자중학교 (원효로4가),37.534209370461,126.95459335968,02  -3279-0530,http://sacredheart.ms.kr/,177,7.1,해당,있음,1,1,있음,0.0,0.0
중구,중부교육지원청,중학교,예원학교,서울특별시 중구 정동길 25(정동),37.56702326472,126.971542683635,02  -727 -9000,https://yewon.sen.ms.kr/,882,21.5,미해당,있음,0,1,있음,1.0,4.0
강동구,강동송파교육지원청,중학교,둔촌중학교,서울특별시 강동구 진황도로61길 25-30(둔촌동),37.5308360856293,127.146331741485,02  -489 -7100,http://doonchon.sen.ms.kr,290,7.6,해당,있음,2,1,있음,0.0,0.0
송파구,강동송파교육지원청,중학교,문정중학교,서울특별시 송파구 문정로 73(문정동. 문정중학교),37.4883919978179,127.130286303121,02  -448 -6348,http://munjeong.sen.ms.kr,430,12.3,해당,있음,0,2,있음,0.0,4.0
송파구,강동송파교육지원청,중학교,보성중학교,서울특별시 송파구 양재대로 1278(방이동.보성중고등학교),37.5200898870034,127.135729296295,02  -2152-2552,https://posung.sen.ms.kr,379,11.1,해당,없음,0,1,있음,0.0,1.0
강동구,강동송파교육지원청,중학교,상일중학교,서울특별시 강동구 천호대로219길 61(상일동. 상일중학교),37.5485874781342,127.170823536325,02  -428 -0735,http://sangil.sen.ms.kr,540,16.4,미해당,있음,0,1,있음,2.0,8.0
송파구,강동송파교육지원청,중학교,잠실여자중학교,서울특별시 송파구 송파대로38길 8(송파동.잠실여자중학교),37.5017941334924,127.114241325581,02  -2140-8131,http://jamsilg.sen.ms.kr,404,10.4,미해당,있음,0,1,있음,1.0,1.0
양천구,강서양천교육지원청,중학교,강신중학교,서울특별시 양천구 남부순환로 604(신월동.강신중학교),37.5151371613165,126.838160107241,02  -2694-9623,http://kangsin.sen.ms.kr,721,11.8,해당,있음,1,1,있음,1.0,6.0
강서구,강서양천교육지원청,중학교,등명중학교,서울특별시 강서구 공항대로39길 39(등촌동.등명중학교),37.5601933510779,126.843304086976,02  -2658-2727,http://deungmyoung.sen.ms.kr,622,12.4,해당,있음,1,1,있음,2.0,9.0
강서구,강서양천교육지원청,중학교,등원중학교,서울특별시 강서구 화곡로65길 50(등촌동.등원중학교),37.5597340202733,126.85181537298,02  -2658-2707,http://deungwon.sen.ms.kr,357,10.5,해당,있음,1,1,있음,0.0,3.0
양천구,강서양천교육지원청,중학교,목동중학교,서울특별시 양천구 목동동로 172(신정동.목동중학교),37.5209571978324,126.871443390095,02  -2643-1103,http://mokdong.sen.ms.kr,1397,15.0,해당,있음,0,2,있음,0.0,6.0
강서구,강서양천교육지원청,중학교,송정중학교,서울특별시 강서구 남부순환로 121(공항동.송정중학교),37.5531580711075,126.815243549144,02  -6477-2905,https://songjeong.sen.ms.kr,233,9.0,해당,있음,0,1,있음,0.0,0.0
양천구,강서양천교육지원청,중학교,신화중학교,서울특별시 양천구 남부순환로29길 35. 신화중학교 (신월동),37.5406111025313,126.829600421672,02  -2600-0937,http://shinhwa.sen.ms.kr,0,0.0,해당,있음,0,0,있음,1.0,4.0
강남구,강남서초교육지원청,중학교,대명중학교,서울특별시 강남구 역삼로87길 26(대치동. 대명중학교),37.5063189430786,127.060778124521,02  -563 -3701,http://daemyeong.sen.ms.kr,1024,16.3,해당,있음,1,1,있음,0.0,9.0
서초구,강남서초교육지원청,중학교,서운중학교,서울특별시 서초구 서운로 115(서초동. 서운중학교),37.4939485124964,127.024538241332,02  -3473-2701,http://seoun.sen.ms.kr,1136,14.2,해당,있음,0,1,있음,0.0,7.0
서초구,강남서초교육지원청,중학교,이수중학교,서울특별시 서초구 방배중앙로3길 32(방배동.이수중학교),37.4806300322796,126.989859045395,02  -521 -4652,http://isu.sen.ms.kr,583,13.3,해당,있음,1,1,있음,0.0,4.0
강남구,강남서초교육지원청,중학교,단국대학교사범대학부속중학교,서울특별시 강남구 도곡로64길 21(대치동)단국대학교사범대학부속중학교,37.4956174948977,127.057768228297,02  -2191-2615,http://dankook.sen.ms.kr,614,18.6,미해당,없음,0,1,있음,0.0,0.0
서초구,강남서초교육지원청,중학교,세화여자중학교,서울특별시 서초구 신반포로 56-7(반포동),37.5019964569165,126.994230013893,02  -594 -8722,https://sehwa.sen.ms.kr,652,11.2,해당,있음,1,1,있음,5.0,2.0
